MaNguoiDung,TenDangNhap,MatKhau,VaiTro
1,admin,admin,Admin
2,070001@gmail.com,mshs070001,HocSinh
3,070002@gmail.com,mshs070002,HocSinh
4,070003@gmail.com,mshs070003,HocSinh
5,070004@gmail.com,mshs070004,HocSinh
6,070005@gmail.com,mshs070005,HocSinh
7,070006@gmail.com,mshs070006,HocSinh
8,070007@gmail.com,mshs070007,HocSinh
9,070008@gmail.com,mshs070008,HocSinh
10,070009@gmail.com,mshs070009,HocSinh
11,070010@gmail.com,mshs070010,HocSinh
12,070011@gmail.com,mshs070011,HocSinh
13,070012@gmail.com,mshs070012,HocSinh
14,070013@gmail.com,mshs070013,HocSinh
15,070014@gmail.com,mshs070014,HocSinh
16,070015@gmail.com,mshs070015,HocSinh
17,070016@gmail.com,mshs070016,HocSinh
18,070017@gmail.com,mshs070017,HocSinh
19,070018@gmail.com,mshs070018,HocSinh
20,070019@gmail.com,mshs070019,HocSinh
21,070020@gmail.com,mshs070020,HocSinh
22,070021@gmail.com,mshs070021,HocSinh
23,070022@gmail.com,mshs070022,HocSinh
24,070023@gmail.com,mshs070023,HocSinh
25,070024@gmail.com,mshs070024,HocSinh
26,070025@gmail.com,mshs070025,HocSinh
27,070026@gmail.com,mshs070026,HocSinh
28,070027@gmail.com,mshs070027,HocSinh
29,070028@gmail.com,mshs070028,HocSinh
30,070029@gmail.com,mshs070029,HocSinh
31,070030@gmail.com,mshs070030,HocSinh
32,070031@gmail.com,mshs070031,HocSinh
33,070032@gmail.com,mshs070032,HocSinh
34,070033@gmail.com,mshs070033,HocSinh
35,070034@gmail.com,mshs070034,HocSinh
36,070035@gmail.com,mshs070035,HocSinh
37,070036@gmail.com,mshs070036,HocSinh
38,070037@gmail.com,mshs070037,HocSinh
39,070038@gmail.com,mshs070038,HocSinh
40,070039@gmail.com,mshs070039,HocSinh
41,070040@gmail.com,mshs070040,HocSinh
42,070041@gmail.com,mshs070041,HocSinh
43,070042@gmail.com,mshs070042,HocSinh
44,070043@gmail.com,mshs070043,HocSinh
45,070044@gmail.com,mshs070044,HocSinh
46,070045@gmail.com,mshs070045,HocSinh
47,070046@gmail.com,mshs070046,HocSinh
48,070047@gmail.com,mshs070047,HocSinh
49,070048@gmail.com,mshs070048,HocSinh
50,070049@gmail.com,mshs070049,HocSinh
51,070050@gmail.com,mshs070050,HocSinh
52,070051@gmail.com,mshs070051,HocSinh
53,070052@gmail.com,mshs070052,HocSinh
54,070053@gmail.com,mshs070053,HocSinh
55,070054@gmail.com,mshs070054,HocSinh
56,070055@gmail.com,mshs070055,HocSinh
57,070056@gmail.com,mshs070056,HocSinh
58,070057@gmail.com,mshs070057,HocSinh
59,070058@gmail.com,mshs070058,HocSinh
60,070059@gmail.com,mshs070059,HocSinh
61,070060@gmail.com,mshs070060,HocSinh
62,070061@gmail.com,mshs070061,HocSinh
63,070062@gmail.com,mshs070062,HocSinh
64,070063@gmail.com,mshs070063,HocSinh
65,070064@gmail.com,mshs070064,HocSinh
66,070065@gmail.com,mshs070065,HocSinh
67,070066@gmail.com,mshs070066,HocSinh
68,070067@gmail.com,mshs070067,HocSinh
69,070068@gmail.com,mshs070068,HocSinh
70,070069@gmail.com,mshs070069,HocSinh
71,070070@gmail.com,mshs070070,HocSinh
72,070071@gmail.com,mshs070071,HocSinh
73,070072@gmail.com,mshs070072,HocSinh
74,070073@gmail.com,mshs070073,HocSinh
75,070074@gmail.com,mshs070074,HocSinh
76,080001@gmail.com,mshs080001,HocSinh
77,080002@gmail.com,mshs080002,HocSinh
78,080003@gmail.com,mshs080003,HocSinh
79,080004@gmail.com,mshs080004,HocSinh
80,080005@gmail.com,mshs080005,HocSinh
81,080006@gmail.com,mshs080006,HocSinh
82,080007@gmail.com,mshs080007,HocSinh
83,080008@gmail.com,mshs080008,HocSinh
84,080009@gmail.com,mshs080009,HocSinh
85,080010@gmail.com,mshs080010,HocSinh
86,080011@gmail.com,mshs080011,HocSinh
87,080012@gmail.com,mshs080012,HocSinh
88,080013@gmail.com,mshs080013,HocSinh
89,080014@gmail.com,mshs080014,HocSinh
90,080015@gmail.com,mshs080015,HocSinh
91,080016@gmail.com,mshs080016,HocSinh
92,080017@gmail.com,mshs080017,HocSinh
93,080018@gmail.com,mshs080018,HocSinh
94,080019@gmail.com,mshs080019,HocSinh
95,080020@gmail.com,mshs080020,HocSinh
96,080021@gmail.com,mshs080021,HocSinh
97,080022@gmail.com,mshs080022,HocSinh
98,080023@gmail.com,mshs080023,HocSinh
99,080024@gmail.com,mshs080024,HocSinh
100,080025@gmail.com,mshs080025,HocSinh
101,080026@gmail.com,mshs080026,HocSinh
102,080027@gmail.com,mshs080027,HocSinh
103,080028@gmail.com,mshs080028,HocSinh
104,080029@gmail.com,mshs080029,HocSinh
105,080030@gmail.com,mshs080030,HocSinh
106,080031@gmail.com,mshs080031,HocSinh
107,080032@gmail.com,mshs080032,HocSinh
108,080033@gmail.com,mshs080033,HocSinh
109,080034@gmail.com,mshs080034,HocSinh
110,080035@gmail.com,mshs080035,HocSinh
111,080036@gmail.com,mshs080036,HocSinh
112,080037@gmail.com,mshs080037,HocSinh
113,080038@gmail.com,mshs080038,HocSinh
114,080039@gmail.com,mshs080039,HocSinh
115,080040@gmail.com,mshs080040,HocSinh
116,080041@gmail.com,mshs080041,HocSinh
117,080042@gmail.com,mshs080042,HocSinh
118,080043@gmail.com,mshs080043,HocSinh
119,080044@gmail.com,mshs080044,HocSinh
120,080045@gmail.com,mshs080045,HocSinh
121,080046@gmail.com,mshs080046,HocSinh
122,080047@gmail.com,mshs080047,HocSinh
123,080048@gmail.com,mshs080048,HocSinh
124,080049@gmail.com,mshs080049,HocSinh
125,080050@gmail.com,mshs080050,HocSinh
126,080051@gmail.com,mshs080051,HocSinh
127,080052@gmail.com,mshs080052,HocSinh
128,080053@gmail.com,mshs080053,HocSinh
129,080054@gmail.com,mshs080054,HocSinh
130,080055@gmail.com,mshs080055,HocSinh
131,080056@gmail.com,mshs080056,HocSinh
132,080057@gmail.com,mshs080057,HocSinh
133,080058@gmail.com,mshs080058,HocSinh
134,080059@gmail.com,mshs080059,HocSinh
135,080060@gmail.com,mshs080060,HocSinh
136,080061@gmail.com,mshs080061,HocSinh
137,080062@gmail.com,mshs080062,HocSinh
138,080063@gmail.com,mshs080063,HocSinh
139,080064@gmail.com,mshs080064,HocSinh
140,080065@gmail.com,mshs080065,HocSinh
141,080066@gmail.com,mshs080066,HocSinh
142,080067@gmail.com,mshs080067,HocSinh
143,080068@gmail.com,mshs080068,HocSinh
144,080069@gmail.com,mshs080069,HocSinh
145,080070@gmail.com,mshs080070,HocSinh
146,080071@gmail.com,mshs080071,HocSinh
147,080072@gmail.com,mshs080072,HocSinh
148,080073@gmail.com,mshs080073,HocSinh
149,080074@gmail.com,mshs080074,HocSinh
150,080075@gmail.com,mshs080075,HocSinh
151,080076@gmail.com,mshs080076,HocSinh
152,080077@gmail.com,mshs080077,HocSinh
153,080078@gmail.com,mshs080078,HocSinh
154,080079@gmail.com,mshs080079,HocSinh
155,080080@gmail.com,mshs080080,HocSinh
156,080081@gmail.com,mshs080081,HocSinh
157,080082@gmail.com,mshs080082,HocSinh
158,080083@gmail.com,mshs080083,HocSinh
159,080084@gmail.com,mshs080084,HocSinh
160,080085@gmail.com,mshs080085,HocSinh
161,080086@gmail.com,mshs080086,HocSinh
162,080087@gmail.com,mshs080087,HocSinh
163,080088@gmail.com,mshs080088,HocSinh
164,080089@gmail.com,mshs080089,HocSinh
165,080090@gmail.com,mshs080090,HocSinh
166,080091@gmail.com,mshs080091,HocSinh
167,080092@gmail.com,mshs080092,HocSinh
168,080093@gmail.com,mshs080093,HocSinh
169,080094@gmail.com,mshs080094,HocSinh
170,080095@gmail.com,mshs080095,HocSinh
171,080096@gmail.com,mshs080096,HocSinh
172,080097@gmail.com,mshs080097,HocSinh
173,080098@gmail.com,mshs080098,HocSinh
174,080099@gmail.com,mshs080099,HocSinh
175,080100@gmail.com,mshs080100,HocSinh
176,080101@gmail.com,mshs080101,HocSinh
177,080102@gmail.com,mshs080102,HocSinh
178,080103@gmail.com,mshs080103,HocSinh
179,080104@gmail.com,mshs080104,HocSinh
180,080105@gmail.com,mshs080105,HocSinh
181,080106@gmail.com,mshs080106,HocSinh
182,080107@gmail.com,mshs080107,HocSinh
183,080108@gmail.com,mshs080108,HocSinh
184,080109@gmail.com,mshs080109,HocSinh
185,080110@gmail.com,mshs080110,HocSinh
186,080111@gmail.com,mshs080111,HocSinh
187,090001@gmail.com,mshs090001,HocSinh
188,090002@gmail.com,mshs090002,HocSinh
189,090003@gmail.com,mshs090003,HocSinh
190,090004@gmail.com,mshs090004,HocSinh
191,090005@gmail.com,mshs090005,HocSinh
192,090006@gmail.com,mshs090006,HocSinh
193,090007@gmail.com,mshs090007,HocSinh
194,090008@gmail.com,mshs090008,HocSinh
195,090009@gmail.com,mshs090009,HocSinh
196,090010@gmail.com,mshs090010,HocSinh
197,090011@gmail.com,mshs090011,HocSinh
198,090012@gmail.com,mshs090012,HocSinh
199,090013@gmail.com,mshs090013,HocSinh
200,090014@gmail.com,mshs090014,HocSinh
201,090015@gmail.com,mshs090015,HocSinh
202,090016@gmail.com,mshs090016,HocSinh
203,090017@gmail.com,mshs090017,HocSinh
204,090018@gmail.com,mshs090018,HocSinh
205,090019@gmail.com,mshs090019,HocSinh
206,090020@gmail.com,mshs090020,HocSinh
207,090021@gmail.com,mshs090021,HocSinh
208,090022@gmail.com,mshs090022,HocSinh
209,090023@gmail.com,mshs090023,HocSinh
210,090024@gmail.com,mshs090024,HocSinh
211,090025@gmail.com,mshs090025,HocSinh
212,090026@gmail.com,mshs090026,HocSinh
213,090027@gmail.com,mshs090027,HocSinh
